Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wetbulb Temperature [C](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily) 
 01/01,0.404166667,71,4.841666667,307.0833333,256.6666667,18.74305556,14.95833333,-1.316151642,2.286238379,4.621008264
 01/02,-0.59375,58.34027778,4.324305556,320.6597222,241.5208333,17.08333333,86.83333333,-3.007805914,2.041940102,4.850692219
 01/03,-2.038541667,83.57986111,2.209375,183.2986111,244.6666667,16.1875,91.75,-2.947567706,1.043268417,4.626461386
 01/04,2.471875,81.92708333,6.407638889,164.0625,285.0763889,15.625,1.625,1.314489226,3.025691556,4.885247863
 01/05,4.140972222,94.40625,5.879861111,185.7986111,299.8680556,13.0625,0,3.766719219,2.776474521,5.689632819
 01/06,4.688541667,83.02430556,3.448958333,294.9652778,281.2569444,17.99305556,86.48611111,3.476178324,1.628600532,5.460461126
 01/07,4.623958333,89.16666667,3.005208333,213.9583333,291.4166667,19.04861111,5.916666667,3.882495407,1.419061473,4.769308284
 01/08,7.385763889,78.52083333,4.287847222,273.6458333,304.4826389,18.82986111,6.166666667,5.751535669,2.024724451,6.727485407
 01/09,7.648611111,74.05902778,6.466666667,257.8819444,307.7604167,19.04166667,4.25,5.550002305,3.053564514,7.156090396
 01/10,8.515277778,74.6875,7.111111111,266.7013889,310.9097222,18.72916667,4.583333333,6.454388193,3.35787163,7.772020153
 01/11,2.569791667,67.82291667,4.222222222,286.9444444,266.4618056,22.19791667,73.78472222,0.418856153,1.99373628,7.531353736
 01/12,1.685416667,66.11805556,4.246180556,302.3263889,259.8645833,21.79513889,50.04166667,-0.47374326,2.005049422,6.42644692
 01/13,5.184027778,82.45138889,3.165277778,230.2430556,296.3159722,22.88310185,6.791666667,3.97207525,1.494646376,4.927972828
 01/14,7.639930556,89.47916667,4.601736111,211.9791667,314.5590278,21.39351852,5.75,6.820621159,2.172943004,5.442840205
 01/15,7.926736111,88.31944444,4.653125,200.7986111,324.1006944,21.76041667,5.541666667,6.980784301,2.197208873,7.300103408
 01/16,8.120138889,83.94097222,8.436458333,190.2430556,323.40625,15.43634259,0,6.815210795,3.983701513,7.860519819
 01/17,5.307291667,89.98263889,7.029513889,193.75,301.4236111,15.68634259,0,4.532026561,3.319341365,7.230815258
 01/18,3.204513889,79.45486111,4.895486111,205.8333333,270.3055556,24.7650463,52.1712963,1.809009686,2.311651959,6.977870535
 01/19,3.216666667,86.39236111,6.304166667,178.0902778,279.6145833,18.29398148,0.791666667,2.283063439,2.9768319,5.969717967
 01/20,4.164236111,82.22569444,5.664236111,211.1458333,282.7465278,25.96296296,38.125,2.86627776,2.674656245,5.204088512
 01/21,4.957638889,79.89930556,7.299305556,203.5763889,286.3159722,21.08449074,15.875,3.480451351,3.446737178,4.95866338
 01/22,3.91875,78.16666667,5.521180556,224.1666667,283.2256944,17.82407407,0,2.3850523,2.607105312,5.995729153
 01/23,5.224652778,67.39930556,7.550694444,250.5555556,281.3263889,26.57291667,77.95833333,2.753783576,3.565443187,6.575359677
 01/24,5.043402778,74.17013889,4.949305556,231.1458333,279.6770833,27.8125,12.08333333,3.152529028,2.337065538,7.054141329
 01/25,5.351388889,93.43055556,3.975694444,134.5486111,306.5381944,18.80902778,0,4.825024493,1.877325692,6.644245561
 01/26,3.39375,82.42013889,5.878472222,282.8125,287.09375,22.49652778,13.125,2.221129938,2.775818686,6.75447707
 01/27,2.621875,87.06597222,4.178125,192.1875,280.8333333,19.96875,0,1.787517908,1.972913541,4.348657619
 01/28,7.847222222,76.58680556,5.95,233.8194444,299.7673611,31.00694444,34.83333333,5.945063226,2.809594153,5.35453311
 01/29,6.754513889,83.51041667,3.684027778,198.9930556,313.1145833,30.77777778,12,5.48535255,1.739600488,7.277531174
 01/30,1.898611111,74.58680556,2.699652778,165.3125,261.03125,25.66898148,103.6458333,0.231923718,1.274777926,7.19486548
 01/31,9.070486111,88.08680556,9.353819444,203.5416667,330.7708333,27.24421296,7.458333333,8.088054948,4.41688007,7.576896452
 02/01,-0.909027778,82.75347222,2.604166667,150.7291667,258.5590278,33.68981481,21.29166667,-1.881176953,1.229689318,6.825740568
 02/02,3.546180556,98.22222222,2.8125,150.1388889,305.3506944,22.84722222,0,3.430245704,1.328064463,6.590693106
 02/03,5.735416667,93.74652778,1.284027778,258.5416667,313.6458333,24.89467593,0,5.275037017,0.606318813,5.851921536
 02/04,5.857291667,89.54513889,2.25,167.7777778,309.4340278,30.25347222,10,5.089138918,1.06245157,5.868468749
 02/05,8.368055556,86.97222222,5.715625,206.9097222,322.5138889,37.06018519,12.54166667,7.326547591,2.698922114,7.875951015
 02/06,9.749652778,73.17708333,5.888541667,245.7986111,318.4236111,37.43981481,51.25,7.426444568,2.780573485,9.442361793
 02/07,5.843402778,78.89583333,2.986458333,220.7986111,287.0347222,31.45833333,6.208333333,4.27461472,1.410207709,8.892254049
 02/08,8.903472222,89.84027778,3.730555556,222.9166667,316.3611111,36.92824074,20.08333333,8.04094437,1.761570937,8.791422945
 02/09,8.302430556,89.12152778,5.177777778,180.8333333,322.6284722,26.82986111,0,7.408386628,2.444950281,8.913266046
 02/10,5.435763889,71.48263889,6.058333333,226.875,287.0277778,40.76388889,89.39351852,3.289025939,2.860749229,7.739337816
 02/11,2.984375,93.33680556,1.109375,123.0902778,283.28125,28.35069444,0,2.54944852,0.523847649,6.082239694
 02/12,2.788888889,81.14930556,1.770833333,255,284.6423611,41.54166667,28.125,1.522846574,0.836188736,6.65631991
 02/13,2.128819444,84.96180556,2.215625,124.9652778,285.3506944,40.50694444,13.625,1.162442836,1.046219671,6.669692232
 02/14,1.980902778,89.25347222,2.712847222,134.5486111,281.4513889,44.03125,17.91666667,1.307475242,1.281008352,6.753268868
 02/15,1.11E-16,80.87152778,1.582986111,210.4166667,252.6423611,30.22685185,158.2083333,-1.200835139,0.747487147,6.72697505
 02/16,-0.363194444,81.91666667,2.543055556,330.2430556,266.2847222,47.7962963,48.21064815,-1.42947028,1.200832608,6.637790675
 02/17,0.555208333,77.94791667,3.695486111,267.9166667,269.8194444,45.65393519,85.06944444,-0.814021689,1.745011121,5.547847433
