Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),GSHPCLG:Heat Pump Electric Power [W](Daily),GSHPCLG:Heat Pump Source Side Inlet Temperature [C](Daily),GSHPHEATING:Heat Pump Electric Power [W](Daily),GSHPHEATING:Heat Pump Source Side Inlet Temperature [C](Daily) ,THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily)
 01/01,0.404166667,-1.316151642,71,4.841666667,307.0833333,256.6666667,18.74305556,14.95833333,2.286238379,0,13.01444773,1411.121338,13.01444773,18.96736193
 01/02,-0.59375,-3.007805914,58.34027778,4.324305556,320.6597222,241.5208333,17.08333333,86.83333333,2.041940102,0,12.96897616,1372.328878,12.96897616,18.96830692
 01/03,-2.038541667,-2.947567706,83.57986111,2.209375,183.2986111,244.6666667,16.1875,91.75,1.043268417,0,12.94763316,1407.728665,12.94763316,18.9717785
 01/04,2.471875,1.314489226,81.92708333,6.407638889,164.0625,285.0763889,15.625,1.625,3.025691556,0,12.9331982,1392.882596,12.9331982,18.97706507
 01/05,4.140972222,3.766719219,94.40625,5.879861111,185.7986111,299.8680556,13.0625,0,2.776474521,0,12.92785825,1293.183311,12.92785825,18.98216422
 01/06,4.688541667,3.476178324,83.02430556,3.448958333,294.9652778,281.2569444,17.99305556,86.48611111,1.628600532,0,12.92288023,1260.388699,12.92288023,18.97236817
 01/07,4.623958333,3.882495407,89.16666667,3.005208333,213.9583333,291.4166667,19.04861111,5.916666667,1.419061473,0,12.91071312,1354.368319,12.91071312,18.97414732
 01/08,7.385763889,5.751535669,78.52083333,4.287847222,273.6458333,304.4826389,18.82986111,6.166666667,2.024724451,0,12.91730771,1104.627503,12.91730771,18.98239862
 01/09,7.648611111,5.550002305,74.05902778,6.466666667,257.8819444,307.7604167,19.04166667,4.25,3.053564514,0,12.91463056,1124.13102,12.91463056,18.98173984
 01/10,8.515277778,6.454388193,74.6875,7.111111111,266.7013889,310.9097222,18.72916667,4.583333333,3.35787163,0,12.91517485,1069.169834,12.91517485,18.98403305
 01/11,2.569791667,0.418856153,67.82291667,4.222222222,286.9444444,266.4618056,22.19791667,73.78472222,1.99373628,0,12.90927565,1120.948403,12.90927565,18.97852455
 01/12,1.685416667,-0.47374326,66.11805556,4.246180556,302.3263889,259.8645833,21.79513889,50.04166667,2.005049422,0,12.89414052,1254.558768,12.89414052,18.98266925
 01/13,5.184027778,3.97207525,82.45138889,3.165277778,230.2430556,296.3159722,22.88310185,6.791666667,1.494646376,0,12.87793149,1353.646289,12.87793149,18.96582054
 01/14,7.639930556,6.820621159,89.47916667,4.601736111,211.9791667,314.5590278,21.39351852,5.75,2.172943004,0,12.8765854,1246.570494,12.8765854,18.97303776
 01/15,7.926736111,6.980784301,88.31944444,4.653125,200.7986111,324.1006944,21.76041667,5.541666667,2.197208873,0,12.88470038,1064.979429,12.88470038,18.98524784
 01/16,8.120138889,6.815210795,83.94097222,8.436458333,190.2430556,323.40625,15.43634259,0,3.983701513,0,12.88594171,1074.725904,12.88594171,18.98504431
 01/17,5.307291667,4.532026561,89.98263889,7.029513889,193.75,301.4236111,15.68634259,0,3.319341365,0,12.87621713,1177.743316,12.87621713,18.98452583
 01/18,3.204513889,1.809009686,79.45486111,4.895486111,205.8333333,270.3055556,24.7650463,52.1712963,2.311651959,0,12.8708388,1179.735231,12.8708388,18.98076385
 01/19,3.216666667,2.283063439,86.39236111,6.304166667,178.0902778,279.6145833,18.29398148,0.791666667,2.9768319,0,12.85683322,1311.432067,12.85683322,18.97980125
 01/20,4.164236111,2.86627776,82.22569444,5.664236111,211.1458333,282.7465278,25.96296296,38.125,2.674656245,0,12.84833404,1323.50314,12.84833404,18.97075833
 01/21,4.957638889,3.480451351,79.89930556,7.299305556,203.5763889,286.3159722,21.08449074,15.875,3.446737178,0,12.84229373,1329.007843,12.84229373,18.97022917
 01/22,3.91875,2.3850523,78.16666667,5.521180556,224.1666667,283.2256944,17.82407407,0,2.607105312,0,12.84375235,1252.970492,12.84375235,18.97670336
 01/23,5.224652778,2.753783576,67.39930556,7.550694444,250.5555556,281.3263889,26.57291667,77.95833333,3.565443187,0,12.84431915,1164.472107,12.84431915,18.9791085
 01/24,5.043402778,3.152529028,74.17013889,4.949305556,231.1458333,279.6770833,27.8125,12.08333333,2.337065538,0,12.84750559,1153.585333,12.84750559,18.97762654
 01/25,5.351388889,4.825024493,93.43055556,3.975694444,134.5486111,306.5381944,18.80902778,0,1.877325692,0,12.83890366,1242.358452,12.83890366,18.9768559
 01/26,3.39375,2.221129938,82.42013889,5.878472222,282.8125,287.09375,22.49652778,13.125,2.775818686,0,12.83780566,1215.800904,12.83780566,18.97943869
 01/27,2.621875,1.787517908,87.06597222,4.178125,192.1875,280.8333333,19.96875,0,1.972913541,0,12.81710698,1465.200514,12.81710698,18.96757019
 01/28,7.847222222,5.945063226,76.58680556,5.95,233.8194444,299.7673611,31.00694444,34.83333333,2.809594153,0,12.82257217,1219.926025,12.82257217,18.97454658
 01/29,6.754513889,5.48535255,83.51041667,3.684027778,198.9930556,313.1145833,30.77777778,12,1.739600488,0,12.83548796,1065.875211,12.83548796,18.98603627
 01/30,1.898611111,0.231923718,74.58680556,2.699652778,165.3125,261.03125,25.66898148,103.6458333,1.274777926,0,12.83440775,1131.143784,12.83440775,18.97961921
 01/31,9.070486111,8.088054948,88.08680556,9.353819444,203.5416667,330.7708333,27.24421296,7.458333333,4.41688007,0,12.83388049,1091.47848,12.83388049,18.98597327
 02/01,-0.909027778,-1.881176953,82.75347222,2.604166667,150.7291667,258.5590278,33.68981481,21.29166667,1.229689318,0,12.82893036,1215.535527,12.82893036,18.98354234
